App_Id,App_name,Genre,Size,IOS_version,Released_date,Updated_date,App_version,Price,Currency,Developer_Id,Developer,Avg_user_rating,Age_group
org.myftp.share35.BibleBulgarian,Bulgarian Audio Bible Библия,Book,376.83,12.0,2016-03-05,2019-10-22,1.0.1,0.0,USD,528268034,電腦技能基金會,0.0,Children
de.zizizi.ZiZiZi,ZiZiZi,Book,34.34,9.0,2020-05-15,2020-05-17,1.1.0,0.0,USD,1086012466,Igor Kilin,0.0,Children
com.rivercrest.babybuddyes,Dino-Buddies™ – La Amiga Bebé eBook App Interactivo (Spanish),Book,246.15,9.2,2014-08-10,2016-02-10,2.1.5,0.0,USD,783488528,"Rivercrest Industries, Inc.",3.0,Children
cbpets,Animal Coloring Book for Children: Learn to draw and color animals and pets,Book,6.56,6.0,2014-04-17,2014-04-17,1.0,0.0,USD,699641827,Johannes Metzler,2.0,Children
com.xentralmethods.Book-Capital,Book Capital,Book,53.69,11.0,2016-09-10,2021-03-05,4,0.0,USD,1256319339,Perbadanan Kota Buku,0.0,Children
com.nirvanaeng,Beilin (碑林 English),Book,408.66,8.0,2020-01-04,2020-01-04,1.0,0.0,USD,967851063,Ofcom Solution Sdn Bhd,0.0,Children
de.silkcode.weka.ch.d,WEKA Digital Library DE,Book,25.4,11.0,2020-10-05,2021-02-12,4.3.2,0.0,USD,1438089726,WEKA Business Media AG,0.0,Children
gr.deltos.theoi,I dodeka thei tou Olimpou,Book,12.3,9.3,2016-03-24,2019-10-10,1.3.0,4.99,USD,1084864165,Deltos Publishing,0.0,Children
com.books2ar.pme,Anatomy & Sports Massage AR,Book,100.7,11.0,2017-06-08,2020-05-22,1.3,0.0,USD,398196955,Paidotribo,1.0,Children
com.expert.book.read.list.recommend,Books by Experts: Reading List,Book,35.19,9.0,2020-10-19,2021-02-17,1.04,0.0,USD,1062215578,Janos Kiss,0.0,Children
com.john.Shamas,Shamas Coptic,Book,30.75,13.0,2020-12-06,2021-06-08,1.3.3,0.0,USD,1112008883,John William,1.66667,Children
com.axepro.holybiblekjvwithapocryphapro,Holy Bible KJV Apocrypha Pro,Book,39.14,9.0,2021-03-18,2021-03-18,3.1,5.99,USD,1356634849,Axeraan Technologies,2.33333,Children
